ú	106
jí	106
ràn	105
àfonífojì	105
èmí	104
lóòótọ́	104
àyà	103
ẹrú	103
ṣẹ̀	102
níwọ̀n	102
àpáta	102
níbo	101
tàn	100
ísáákì	100
ábúsálómù	100
irun	100
wàásù	99
fún-un	98
ìbùkún	98
bákan	98
édómù	98
rúbọ	98
àgbàlá	97
ìlérí	97
lo	97
símónì	96
jíjẹ	96
pẹ́	96
márùn-ún	96
ra	96
ìpàdé	96
orin	96
mọ́lẹ̀	96
àlá	96
fun	96
ọrọ̀	96
ìyókù	95
lù	95
tẹ́lẹ̀	95
èṣo	94
ọ̀tá	94
òye	94
ṣẹ	94
orílẹ̀-èdè	93
òní	93
wó	93
láé	93
láéláé	93
lòdì	93
ògiri	92
ègbé	92
èlíjà	92
lò	91
bèèrè	91
ìpọ́njú	91
lépa	91
na	91
yàrá	90
èké	90
egungun	90
gígùn	89
ìríra	89
ẹkún	89
ẹrù	89
dojú	89
alààyè	89
ọ̀rẹ́	89
kékeré	89
àdúrà	89
ìyà	88
jéróbóámù	88
jọ̀wọ́	88
bò	88
ọkà	88
ṣáájú	87
nì	87
dàgbà	87
ẹgbẹ́	87
èrò	87
heṣekáyà	86
kìnnìún	86
ọtí	86
àgbààgbà	86
ibojì	86
ipa	86
abẹ́	86
síi	86
òjò	86
kórìíra	85
pátapáta	85
ísọ̀	85
ẹgbàá	85
gbẹ	85
áhábù	85
múra	84
farisí	84
láì	84
gílíádì	84
baà	84
aláìní	84
tẹ	84
bu	84
ìyanu	83
ogójì	83
ìlẹ̀kùn	83
mẹ́fà	83
aláìkọlà	82
jónátanì	82
èlíṣà	82
arábìnrin	82
igbó	82
dì	82
kín	82
rárá	81
gúsù	81
kọ̀wé	81
sáré	80
jerúsálémù	80
dán	80
ìbẹ̀rù	80
tèmi	80
talákà	80
fúnra	80
láṣẹ	79
yé	79
ọlọ́gbọ́n	79
títa	79
dípò	79
ṣẹ́gun	79
àsìkò	79
dè	79
olùkọ́	79
ò	78
ri	78
àrùn	78
dáníẹ́lì	77
kiri	77
yára	77
ẹ̀ka	77
afẹ́fẹ́	77
ásíríà	77
rékọjá	76
tóbi	76
ìgbàlà	76
kérúbù	76
gbá	76
sunkún	76
ìgbèkùn	76
sọ́tọ̀	76
lágbára	76
wù	76
okùn	76
ìrékọjá	76
kéde	76
láàárin	76
tuntun	75
ẹ̀kọ́	75
parun	75
èkejì	75
ìyàn	75
ẹ̀bi	74
aládé	74
ìrètí	74
òmùgọ̀	74
rọ̀	74
àwo	73
ìbànújẹ́	73
òwe	73
ìta	73
kìlọ̀	73
dájú	72
bùkún	72
ìwọ̀	72
ìṣe	72
àgbà	72
ètùtù	72
ààyè	72
koríko	72
àkọ́kọ́	72
ìṣúra	72
ààbò	72
asán	71
ọ̀rá	71
káàkiri	71
ámórì	71
wẹ	71
dájúdájú	71
lọ́rùn	71
ọ̀gá	71
báálì	71
ibùgbé	70
ṣègbé	70
rúbẹ́nì	70
léèrè	70
ahoro	70
opó	70
gálílì	70
ìtìjú	69
jéhù	69
gádì	69
oníṣẹ́	69
kìkì	69
agbègbè	69
ábúrámù	69
gbàgbé	69
ipá	69
nù	68
ṣoṣo	68
yíká	68
ẹṣin	68
ọgbọ̀n	67
ijọ́	67
ọ̀sìn	67
líle	67
àádọ́ta	67
olùṣọ́	67
fìtílà	67
sinmi	67
ẹlẹ́rìí	67
pàgọ́	67
onírúurú	66
ṣékélì	66
rọ	66
bọ	66
oore-ọ̀fẹ́	66
ìkòkò	66
ṣíṣe	66
lọ́nà	66
yè	66
gun	65
jóòbù	65
ahọ́n	65
ọn	65
àjèjì	65
irin	65
dánì	65
bú	65
bóyá	65
nípaṣẹ̀	65
síwájú	65
tẹ́tí	65
péjọ	64
ìrànlọ́wọ́	64
àpósítélì	64
ìdajì	64
tẹ̀ṣíwájú	64
kìn-ín-ní	64
kọjú	64
ìwo	63
ìgbéraga	63
papọ̀	63
igbe	63
funfun	63
gbangba	63
lásán	63
ọ̀kọ̀	63
ọmọdé	62
nìyìí	62
jìnnà	62
balógun	62
dákẹ́	62
rẹ́	62
ọ̀sán	62
de	61
ọ̀kọ̀ọ̀kan	61
bálámù	61
wákàtí	61
igun	61
ẹ̀yín	61
wólẹ̀	61
keje	61
tu	61
aláìgbọ́n	61
dùbúlẹ̀	61
ọ̀dọ́mọkùnrin	60
ọ̀wọ́	60
fọ	60
ariwo	60
tútù	60
fífẹ̀	60
ègún	60
jẹ́rìí	60
wàhálà	59
ẹ̀wọ̀n	59
jìyà	59
ìrora	59
akọ̀wé	59
gbẹ́	59
kọlu	59
há	59
wárìrì	58
nìyí	58
pẹ̀tẹ́lẹ̀	58
ẹ̀gún	58
èṣù	58
rà	58
ẹ̀dá	57
ẹ̀gbọ́n	57
lábánì	57
kẹta	57
létí	57
bàjẹ́	57
sálọ	57
ìwọ̀nyí	57
sẹ́yìn	57
nísinsìnyìí	57
fetí	57
ibodè	57
ṣẹ́	57
sáà	56
pàápàá	56
ìsìn	56
ìletò	56
gídíónì	56
awọ	56
ìpè	56
ríran	55
ọmọ-ọ̀dọ̀	55
ran	55
tìrẹ	55
súre	55
fò	55
ìrántí	55
ẹjọ́	55
kéré	55
ètè	55
tábìlì	55
pọ́n	55
àgbélébùú	55
tẹ̀	54
àjàgà	54
márùn	54
dárí	54
ọlọ́rọ̀	54
to	54
láìsí	54
lélẹ̀	54
ebi	54
ko	54
mì	53
ìyẹ̀fun	53
ẹ̀jẹ́	53
ábímélékì	53
wẹ̀	53
mímu	53
ẹja	53
ábínérì	53
múlẹ̀	53
erùpẹ̀	53
lẹ́ẹ̀kan	53
ọ̀fọ̀	53
pílátù	53
ẹ̀mi	52
pinnu	52
yàtọ̀	52
ẹ̀wù	52
gbẹ́kẹ̀lé	52
tẹríba	52
jagunjagun	52
wọ̀n-ọn-nì	52
ṣọ	51
ẹ̀gàn	51
ẹ̀bá	51
ṣinṣin	51
gbìn	51
òòrùn	51
dànù	51
ayérayé	51
ìyẹ́	51
borí	51
burú	51
àádọ́rin	51
ìròyìn	51
jagun	51
ìjì	51
yálà	51
mídíánì	50
tọ́jú	50
nà	50
kọ́kọ́	50
lóyún	50
ìkógun	50
farahàn	50
eléyìí	50
òrùka	50
òsì	50
nebukadinésárì	50
ṣí	50
aládùúgbò	50
màríà	49
jẹ́ríkò	49
ọlọ́lá	49
ṣàn	49
alẹ́	49
ṣíhónì	49
iyebíye	49
dí	49
òmíràn	49
lógo	49
afọ́jú	48
ìsàlẹ̀	48
òṣùwọ̀n	48
ayaba	48
àwòrán	48
ìgbẹ́	48
fèrè	48
ọ́n	48
kẹ́gàn	48
dámásíkù	48
ìhámọ́ra	47
nóà	47
olùfẹ́	47
ẹsin	47
èwe	47
olóòótọ́	47
wẹ́wẹ́	47
panṣágà	47
ọ̀pọ̀tọ́	47
gan	47
ẹ̀tàn	47
ọfà	47
àmùrè	47
ọ̀kẹ́	46
yó	46
ìbẹ̀rẹ̀	46
kùtùkùtù	46
élíásárì	46
baálẹ̀	46
ìkà	46
àgbèrè	46
gbógun	46
módékáì	46
ṣékémù	46
ìrúbọ	46
gbígbóná	46
réhóbóámù	46
tà	45
dẹ́ṣẹ̀	45
ìtumọ̀	45
rákélì	45
ìràwọ̀	45
àbùkù	45
